118,Isla Situada frente a la India duramente castigada por el Tsunami del 2004 cuya capital es Colombo,Myanmar,Sri Lanka,Bangladesh,Fiji,2,
119,Alemania nació como país tras su unificación en 1861 gracias al llamado Canciller de Hierro Otto von,Baulks,Richtofen,Krupp,Bismarck,4,
120,Máximo escritor de la post-guerra mundial cuyas novelas Estado de sitio y La peste le hicieron ganar el Nobel en el 57,Albert Camus,Alberto Moravia,Jean-Paul Sartre,Gabriel García Márquez,1,
121,Alguna de sus especies produce descargas de hasta 600 voltios como para dar un buen calambre,Anguila,Erizo de mar,Barracuda,Estrella de mar,1,
122,Es imposible imaginar un mundo sin aviones. El primer vuelo de la historia en 1903 lo hicieron los hermanos,Curltz,Wright,Montgolfier,Zeppelin,2,
123,¿Qué país obtuvo su independencia de España en la Batalla de Carabobo ganada por las fuerzas de Simón Bolivar?,Venezuela,Uruguay,Filipinas ,Paraguay,1,
124,¿Qué hora marca el reloj cada vez que el Sol pasa por cada uno de los husos horarios de la Tierra aunque esté nublado?,12:00pm,6:00am,12:00am,6:00pm,1,
125,Gran pintor italiano que participó en la decoración de la Capilla Sixtina. Se llamaba Alessandro Filipepi y su nombre de batalla era Sandro,Mazzola,Rinaldi,Boticcelli,Mascarponi,3,
126,El oxígeno que respiramos lo producen las plantas y lo sacan al exterior a través de unas aberturas o estomas situadas en,el tallo,la raíz,las flores,las hojas,4,
127,Su odiado y temido nombre por negros hispanos y judíos provino de la onomatopeya del fusil. Al ser cargado y amartillado.,Gestapo,Ku Klux Klan,Mafia,KGB,2,
128,Hubo tres expediciones españolas a México la primera fue encabezada por Francisco Hernández de Córdoba en el año de,1517,1554,1539,1543,1,
129,¿Qué célebre historiador de la antigüedad escribió hace 2500 años la primera crónica de hechos reales basada en las guerras médicas?,Homero,Herodoto,Hammurabi,Hipólito,2,
130,¿Qué continente esta formado casi solo por islas y dividido en tres extensas regiones llamadas Polinesia Micronesia y Melanesia?,África,Asia,Europa,Oceanía,4,
131,Novela autobiográfica de Hemingway sobre un oficial de Estados Unidos que enamora y embaraza a una enfermera en tiempos de la 1era Guerra Mundial ,Por quien doblan las campanas,Amor en la tarde,Adios a las armas,El eterno atardecer,3,
132,A qué temperatura pasa el agua del estado líquido al estado gaseoso,50 grados Célsius,100 grados Célsius,150 grados Célsius,300 grados Célsius,2,
133,Gorro o casquete blanco de tipo judío que usa el papa regularmente para cubrir parte de su cabeza,Tiara,Cofia,Corona,Solideo,4,
134,Cortés fue a las Hibueras a sofocar la rebelión de Cristobal de Olid llevando a Cuauhtémoc con él y lo ahorcó en el camino el 26 de febrero de,1521,1519,1525,1530,3,
135,Nombre con el que se conoce la alianza militar formada por Alemania Italia Japón y otros países durante la 2nda Guerra Mundial,Eje,Liga,Clan,Equipo,1,
136,¿Qué país posee el 7% de la superficie terrestre mundial y el 5% de la población del planeta?,México,Estados Unidos,China,Canadá,2,
137,El Grand Slam en tenis son los cuatro principales torneos que se celebran cada año en el mundo. ¿Cuál es el principal?,US Open,Wimbledon,Rolland Garros,Australian Open,2,
138,Primera mujer en subirse a una nave espacial y viajar 4 días sola en 1963? Valentina,Cortese,Sierra,Tereshkova,Pavlolva,3,
139,¿Qué filósofo oriental dijo que una imagen vale más que mil palabras?,Confucio,Buda,Zoroastro,Sófocles,1,
140,¿A qué misionero español de la Nueva España llamaban los indios Motolinía?,Domingo de Guzmán,Bartolome de Olmedo,Toribio de Benavente,Segundo Chávez,3,
141,El imperio Inca cayó en poder de los españoles hasta 1572 cuando el virrey de Perú decapitó al último rebelde llamado,Atahualpa,Huayna Cápac,Ataninco Guayma,Túpac Amaru,4,
142,Colón llegó a América pensando que era parte de Asia e ignorando que es el segundo continente en tamaño. De qué tamaño es?,22 millones de km2,62 millones de km2,42 millones de km2,72 millones de km2,3,
143,El arte op consiste en efectos visuales a través de las líneas las formas y los colores así son las obras de,Edvard Munch,Victor Vasarely,Alexander Calder,Pablo Picasso,2,
144,¿Cuántos grados tiene la circunferencia lo que equivale a una rotación completa del ángulo?,180,270,360,420,3,
145,¿Cuál de estas palabras es un ejemplo de participio irregular?,tocado,deprimida,leído,escrito,4,
146,Compuso mazurkas estudios preludios nocturnos polonesas y sonatas para piano. Murió de tuberculosis a los 39 años.,Franz Liszt,Frédéric Chopin,Richard Wagner,Ludwin Van Beethoven,2,
147,Todos los metales que se respeten deben tener un símbolo derivado de nombres expresados en,Inglés,Griego,Alemán,Latin,4,
148,Parte de la gramática que enseña a escribir correctamente las palabras de una lengua,Caligrafía,Ortografía,Sintáxis,Redacción,2,
149,Torero regiomontano que salía de la Plaza en hombros o bajo una lluvia de cojines ,Luis Procuna,Lorenzo Garza,Manuel Capetillo,Eloy Cabazos,2,
150,"Conquistador tártaro cuyo nombre significa en Chino ""guerrero valeroso"" que fundó el imperio más extenso de la historia universal",Gengis Khan,Kublai Khan,Aga Khan,Hugo Khan,1,
151,¿Qué república independiente fundó Chiang Kai Shek en la isla china de Formosa al huir de Mao Tse-Tung (o Mao Zedong),Hong Kong,Taiwan,Macao,Fiji,2,
152,¿Qué nombre adoptó el primer presidente de México porque el de su acta de nacimiento era Manuel Félix Fernández o Miguel Fernández Félix?,Vicente Guerrero,Nicolás Bravo,Guadalupe Victoria ,Benito Juárez,3,
153,¿Qué hábil y seductora mujer condicionó la entrega de sus encantos a Enrique VIII al divorcio de éste de Catalina de Aragón?,Ana de Austria,Ana de Cleves,Ana de Hamburgo,Ana Bolena,4,
154,Las costas marítimas de todo Centroamérica equivalen a la mitad de las mexicanas esto significa que sus litorales miden más o menos,2500 kms,5000 kms,10000kms,7500 kms,2,
155,Hasta hace pocos años toda quinceañera era presentada en sociedad entre los acordes de un vals de este compositor austriaco,Johann Strauss Jr,Franz Lehar,Igor Stravinsky,Richard Wagner,1,
156,Órgano reproductor femenino de las flores que consta de estigma estilo y ovario,Pistilo,Corola,Estambre,Trompas,1,
157,Cuando un sargento primero es ascendido ya puede presumir que es un subteniente. ¿Qué insignia caracteriza su nuevo grado?,Una estrella,Una cinta,Una barra,Una cruz ,3,
158,¿Qué presidente tuvo la idea de suprimir los privilegios del clero del ejército y de los ricos para igualar a todos los hombres ante la ley? Valentin,Lavín,Canalizo,Trujillo,Gomez Farías,4,
159,Tercer hombre de Hitler que se arrojó en paracaídas sobre Escocia en 1941 y permaneció preso hasta su muerte en 1987,Eric Raeder,Rudolph Hess,Albert Speer,Joan Rupert,2,
160,Estados Unidos es una Federación de Estados Independientes ¿cuántas son además del Distrito de Columbia?,50,45,55,40,1,
161,La colombiana Catalina Sandino fue nominada al Óscar como mejor actriz del 2004 por la película,Mar adentro,Entre copas,María llena eres de gracia,El padre Amaro,3,
162,Todos los animales se dividen en grupos llamados órdenes éstos en familias las familias en géneros y los géneros en ,ramas,clases,grupos,especies,4,
163,Dar a César lo que es del César y a Dios lo que es de Dios. Lo dijo Cristo refiriéndose a ,Tiberio,Nerón,Augusto,César,1,
164,El nombre de la esposa de Juárez aparece en letras de oro en la Cámara de Diputados como un homenaje a su alta calidad humana. ¿Cuál es?,Karla Álvarez,Margarita Maza,Sara Pérez,Carmen Romero,2,
165,El famoso navegante inglés James Cook viajó mucho por los mares del sur y se encontró con las islas Hawai a las que llamó islas,Hot Dog,Hamburger,Sandwich,Baguette,3,
166,¿Con qué país comparte España el Golfo de Vizcaya llamado también Golfo de Gascuña por el país en cuestión? ,Portugal,Italia,Grecia,Francia,4,
167,Hueso largo que forma parte del esqueleto del antebrazo ,Cine,Radio,Tele,Húmero,2,
168,Hablando de contabilidad qué estado financiero revela lo que se tiene o lo que se debe,Estado de Resultados,Estado de Cuenta,Balance General,Análisis Financiero,3,
169,¿Cuántos millones de personas se estima que murieron en la Segunda Guerra Mundial?,40,90,120,60,4,
170,Las costas de Alemania pertenecen a dos mares: El Mar del Norte y el,Mar Caspio ,Mar Báltico,Mar Negro,Mar Rojo,2,
171,¿Cuántas pezuñas tienen los caballos en cada pata?,3,4,1,5,3,
172,El acento escrito de las palabras se llama ortográfico. ¿Cómo se llama el palito que lo indica?,Tilde,Capelo,Punto,Cofia,1,
173,El ideario político de Francisco I Madero donde exponía sus razones para tomar las armas contra Porfirio Díaz quedó plasmado en El Plan de,Iguala,Ayutla,Ayala,San Luis,4,
174,Nombre del fundador en 1929 del actual Partido Revolucionario Institucional,Álvaro Obregón,Lázaro Cárdenas,Plutarco Elías Calles,Miguel de la Madrid,3,
175,¿Cómo se llama el acontecimiento que marcó en el año 622 el inicio de la era Musulmana?,Islam,Hériga,Ramadan,Coran,2,
176,El 88% del perímetro de España está rodeado de agua perteneciente a un océano dos mares y un golfo. ¿Cuál es el golfo?,Carpentaria,Cantábrico,Vizcaya,Ibérico,3,
177,Literato español del Siglo de Oro autor del libro De buen amor escrito en la soledad de la cárcel,Tirso de Molina,Francisco de Quevedo,Julian de Obregón,Arcipreste de Hita,4,
178,La abeja reina vive 25 veces más que la obrera y duplica a ésta en tamaño gracias a que come solo,Miel,Polen,Jalea real,Semillas,3,
179,Sensual danza hawaiana en que las bailarinas ataviadas con faldas largas y collar de flores se mueven cadenciosamente al compás del ukelele ,Hula-hula,Aloha,Lei,Ola,1,
180,Ninguno de los pocos lagos de México figura entre los 50 más grandes del mundo cuál es el principal con 1100 km2 de superficie?,Janitzio,Chapala,Cuitzeo,Pátzcuaro,2,
181,No llores por mi Argentina ¿de quién era este melodramático ruego no atendido por que Argentina lloró amargamente su partida?,Carlos Gardel,Alberto Cortés,Juan Domingo Perón,Eva Perón,4,
